"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"all.symptomatic"
"439"	0.914	0.004	0	0.082	0	0	0	0	0
"440"	0.946	0	0	0.054	0	0	0	0	0
"441"	0.754	0.008	0.001996	0.234	0	0.001996	0	0	8e-06
"442"	0.976	0	0	0.022	0	0	0	0.002	0
"443"	0.974	0	0	0.026	0	0	0	0	0
"444"	0.998	0	0	0.002	0	0	0	0	0
"445"	0.956	0	0	0.044	0	0	0	0	0
"446"	0.894	0.002	0	0.104	0	0	0	0	0
"447"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"448"	1	0	0	0	0	0	0	0	0
"449"	1	0	0	0	0	0	0	0	0
"450"	0.96	0	0.002	0.038	0	0	0	0	0
"451"	1	0	0	0	0	0	0	0	0
"452"	1	0	0	0	0	0	0	0	0
"453"	0.978	0	0	0.022	0	0	0	0	0
"454"	0.92	0	0	0.08	0	0	0	0	0
"455"	0.852	0	0	0.144	0	0	0	0.004	0
"456"	0.962	0	0	0.038	0	0	0	0	0
"457"	0.694	0.008	0.001996	0.296	0	0	0	0	4e-06
"458"	0.984	0	0	0.016	0	0	0	0	0
"459"	0.772	0.004	0	0.218	0	0	0.001996	0.004	4e-06
"460"	0.998	0	0	0.002	0	0	0	0	0
"461"	0.998	0	0	0.002	0	0	0	0	0
"462"	0.798	0	0	0.2	0	0	0	0.002	0
"463"	1	0	0	0	0	0	0	0	0
"464"	0.928	0	0	0.072	0	0	0	0	0
"465"	0.98	0	0	0.02	0	0	0	0	0
"466"	0.986	0	0	0.014	0	0	0	0	0
"467"	0.962	0	0	0.038	0	0	0	0	0
"468"	0.93	0.002	0	0.068	0	0	0	0	0
"469"	0.958	0	0	0.042	0	0	0	0	0
"470"	0.99	0	0	0.01	0	0	0	0	0
"471"	1	0	0	0	0	0	0	0	0
"472"	0.912	0	0	0.088	0	0	0	0	0
"473"	0.958	0	0	0.042	0	0	0	0	0
"474"	0.96	0	0	0.04	0	0	0	0	0
"475"	0.972	0	0	0.028	0	0	0	0	0
"476"	0.96	0	0	0.04	0	0	0	0	0
"477"	1	0	0	0	0	0	0	0	0
"478"	0.96	0	0	0.04	0	0	0	0	0
"479"	0.998	0	0	0.002	0	0	0	0	0
"480"	0.902	0.002	0	0.094	0	0	0	0.002	0
"481"	0.994	0	0	0.006	0	0	0	0	0
"482"	0.946	0	0	0.054	0	0	0	0	0
"483"	0.986	0	0	0.014	0	0	0	0	0
"484"	0.924	0.002	0.002	0.072	0	0	0	0	0
"485"	0.95	0.002	0.001996	0.046	0	0	0	0	4e-06
"486"	1	0	0	0	0	0	0	0	0
"487"	0.962	0	0	0.038	0	0	0	0	0
"488"	0.796	0.002	0	0.2	0	0	0	0.002	0
"489"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"490"	0.994	0	0	0.006	0	0	0	0	0
"491"	0.712	0.004	0	0.28	0	0	0.001996	0.002	4e-06
"492"	0.928	0	0	0.072	0	0	0	0	0
"493"	0.956	0	0	0.044	0	0	0	0	0
"494"	0.878	0.004	0	0.114	0.003984	0	0	0	1.6e-05
